id	sec	std	jn	jb
L2U-0042	식당주문	이거 포장해 주세요	요거 싸 주쇼	요거 싸 주쇼
L2U-0043	식당주문	수저 좀 갖다 주세요	수저 좀 갖다 주쇼잉	수저 좀 갖다 주쇼잉
L2U-0044	식당주문	이거 너무 뜨거워요	요거 허벌나게 뜨겁소	요거 허벌나게 뜨겁소
L2U-0045	식당주문	좀 천천히 주셔도 돼요	좀 찬찬히 주셔도 되야라	좀 찬찬히 주셔도 되야라
L2U-0046	식당주문	추가 주문 할게요	더 시킬라요	더 시킬라요
L2U-0047	식당주문	이거 빼 주세요	요거 빼 주쇼	요거 빼 주쇼
L2U-0048	식당주문	밥 좀 더 주세요	밥 좀 더 주쇼잉	밥 좀 더 주쇼잉
L2U-0049	식당주문	이거 다시 데워 주세요	요거 다시 뎁혀 주쇼	요거 다시 뎁혀 주쇼
L2U-0050	식당주문	계산서 주세요	곈산서 주쇼	계산서 주쇼
L2U-0051	식당주문	면 좀 더 주세요	면 좀 더 주쇼잉	면 좀 더 주쇼잉
L2U-0052	식당주문	덜 짜게 해 주세요	안 짜게 해 주쇼	안 짜게 해 주쇼
L2U-0053	식당주문	이거 맛이 좀 이상해요	요거 맛이 좀 요상허요	요거 맛이 좀 요상허요
L2U-0054	식당주문	세트로 주세요	세트로 주쇼	세트로 주쇼
L2U-0055	식당주문	단품으로 주세요	단품으로 주쇼잉	단품으로 주쇼잉
L2U-0056	식당주문	이거 양념 발라 주세요	요거 양님 발라 주쇼	요거 양념 발라 주쇼
L2U-0057	식당주문	안 맵게 부탁해요	안 맵게 해 주쇼잉	안 맵게 해 주쇼잉
L2U-0058	식당주문	이거 환불해 주세요	요거 무러 주쇼	요거 물러 주쇼
L2U-0059	식당주문	주문 취소할게요	시킨 거 무를라요	시킨 거 무를라요
L2U-0060	식당주문	음료는 뭐 있어요?	음료는 뭐 있당가요?	음료는 뭐 있당가요?
L2U-0061	식당주문	콜라 하나 주세요	콜라 하나 주쇼잉	콜라 하나 주쇼잉
L2U-0062	식당주문	사이다로 바꿔 주세요	사이다로 바까 주쇼	사이다로 바까 주쇼
L2U-0063	식당주문	이거 몇 인분이에요?	요거 멫 인분이당가요?	요거 멫 인분이당가요?
L2U-0064	식당주문	일 인분만 돼요?	한 사람치만 되까요?	한 사람치만 되까요?
L2U-0065	식당주문	더 시킬게요	더 시킬랑께요	더 시킬랑게요
L2U-0066	식당주문	그만 주세요	고만 주쇼	고만 주쇼
L2U-0067	식당주문	이거 매진이에요?	요거 다 폴렸당가요?	요거 다 팔렸당가요?
L2U-0068	식당주문	다른 거 추천해 주세요	딴 거 추천해 주쇼	딴 거 추천해 주쇼
L2U-0069	식당주문	이거 제일 인기 많아요?	요거 젤로 잘 나가당가요?	요거 젤로 잘 나가당가요?
L2U-0070	식당주문	양념 따로 주세요	양님 따로 주쇼잉	양념 따로 주쇼잉
L2U-0071	식당주문	소스 더 주세요	소스 더 주쇼	소스 더 주쇼
L2U-0072	식당주문	이거 차게 해 주세요	요거 차게 해 주쇼	요거 차게 해 주쇼
L2U-0073	식당주문	면 불었어요	면 다 불어브렀소	면 다 불어버렸어라우
L2U-0074	식당주문	좀 짜게 해 주세요	좀 짜게 해 주쇼잉	좀 짜게 해 주쇼잉
L2U-0075	식당주문	이거 새로 해 주세요	요거 새로 해 주쇼	요거 새로 해 주쇼
L2U-0076	식당주문	덜 익혀 주세요	덜 익혀 주쇼	덜 익혀 주쇼
L2U-0077	식당주문	바싹 익혀 주세요	빠짝 익혀 주쇼잉	빠짝 익혀 주쇼잉
L2U-0078	식당주문	이거 그릇 좀 바꿔 주세요	요거 그륵 좀 바까 주쇼	요거 그륵 좀 바까 주쇼
L2U-0079	식당주문	젓가락 떨어뜨렸어요	저까락 떨어트렸소	저까락 떨어트렸소
L2U-0080	식당주문	휴지 좀 주세요	휴지 좀 주쇼잉	휴지 좀 주쇼잉
L2U-0081	식당주문	이거 다 먹을 수 있어요	요거 다 묵을 수 있소	요거 다 먹을 수 있소
L2U-0082	식당주문	남은 거 싸 주세요	냉긴 거 싸 주쇼	냉긴 거 싸 주쇼
L2U-0083	식당주문	이거 더 익혀야 돼요	요거 더 익혀야 쓰겄소	요거 더 익혀야 쓰겄소
L2U-0084	식당주문	국물만 더 주세요	국물만 더 주쇼잉	국물만 더 주쇼잉
L2U-0085	식당주문	건더기 좀 더 주세요	건더기 좀 더 주쇼	건더기 좀 더 주쇼
L2U-0086	식당주문	덜 달게 해 주세요	안 달게 해 주쇼	안 달게 해 주쇼
L2U-0087	식당주문	맵기 조절돼요?	매운 거 조절되까요?	매운 거 조절되까요?
L2U-0088	식당주문	보통 맛으로 주세요	보통 맛으로 주쇼잉	보통 맛으로 주쇼잉
L2U-0089	식당주문	순한 맛 있어요?	순한 맛 있당가요?	순한 맛 있당가요?
L2U-0090	식당주문	이거 양 늘려 주세요	요거 양 늘려 주쇼	요거 양 늘려 주쇼
L2U-0091	식당주문	어린이 메뉴 있어요?	애기 메뉴 있당가요?	애기 메뉴 있당가요?
L2U-0092	식당주문	이거 채식도 돼요?	요거 채식도 되까요?	요거 채식도 되까요?
L2U-0093	식당주문	따로따로 포장해 주세요	따로따로 싸 주쇼	따로따로 싸 주쇼
L2U-0094	식당주문	같이 담아 주세요	같이 담아 주쇼잉	같이 담아 주쇼잉
L2U-0095	식당주문	이거 뜨겁게 데워 주세요	요거 뜨시게 뎁혀 주쇼	요거 뜨시게 뎁혀 주쇼
L2U-0096	식당주문	반찬 리필 돼요?	반찬 또 주는 거요?	반찬 또 주는 거요?
L2U-0097	식당주문	물수건 좀 주세요	물수건 좀 주쇼잉	물수건 좀 주쇼잉
L2U-0098	식당주문	이거 매워서 못 먹겠어요	요거 매와서 못 묵겄소	요거 매와서 못 먹겄소
L2U-0099	식당주문	좀 데워서 다시 주세요	좀 뎁혀서 다시 주쇼	좀 뎁혀서 다시 주쇼
L2U-0100	식당주문	양파 빼 주세요	양파 빼 주쇼잉	양파 빼 주쇼잉
L2U-0101	식당주문	오이 빼 주세요	오이 빼 주쇼	오이 빼 주쇼
L2U-0102	식당주문	고수 빼 주세요	고수 빼 주쇼잉	고수 빼 주쇼잉
L2U-0103	식당주문	계란 추가해 주세요	계란 더 옇어 주쇼	계란 더 옇어 주쇼
L2U-0104	식당주문	치즈 추가요	치즈 더 주쇼잉	치즈 더 주쇼잉
L2U-0105	식당주문	곱빼기 돼요?	곱빼기 되까요?	곱빼기 되까요?
L2U-0106	식당주문	이거 얼마나 기다려요?	요거 을매나 지달리당가요?	요거 을매나 지달리당가요?
L2U-0107	식당주문	빨리 되는 거 뭐 있어요?	후딱 되는 거 뭐 있당가요?	후딱 되는 거 뭐 있당가요?
L2U-0108	식당주문	포장 시간 얼마나 걸려요?	싸는 디 을매나 걸린당가요?	싸는 디 을매나 걸린당가요?
L2U-0109	식당주문	매장에서 먹을게요	여그서 묵을라요	여그서 먹을라요
L2U-0110	식당주문	이거 데우지 마세요	요거 뎁히지 마쇼	요거 뎁히지 마쇼
L2U-0111	식당주문	소금 빼고 해 주세요	소금 빼고 해 주쇼	소금 빼고 해 주쇼
L2U-0112	식당주문	이거 두 그릇 주세요	요거 두 그륵 주쇼잉	요거 두 그륵 주쇼잉
L2U-0113	식당주문	덜 짜고 덜 맵게요	안 짜고 안 맵게라	안 짜고 안 맵게라
L2U-0114	식당주문	이거 환불되나요?	요거 무를 수 있당가요?	요거 무를 수 있당가요?
L2U-0115	식당주문	음식이 잘못 나왔어요	음석이 잘못 나와브렀소	음석이 잘못 나와버렸어라우
L2U-0116	식당주문	다시 만들어 주세요	다시 맹글어 주쇼	다시 맹글어 주쇼
L2U-0117	식당주문	이거 상한 것 같아요	요거 상한 거 같소	요거 상한 거 같소
L2U-0118	식당주문	머리카락 나왔어요	머리끄댕이 나와브렀소	머리끄댕이 나와버렸어라우
L2U-0119	식당주문	자리 좀 닦아 주세요	자리 좀 딲아 주쇼	자리 좀 딲아 주쇼
L2U-0120	식당주문	의자 하나 더 주세요	으자 하나 더 주쇼잉	으자 하나 더 주쇼잉
L2U-0121	식당주문	아기 의자 있어요?	애기 으자 있당가요?	애기 으자 있당가요?
L2U-0122	식당주문	이거 나눠 먹을게요	요거 노놔 묵을라요	요거 노놔 먹을라요
L2U-0123	식당주문	앞치마 좀 주세요	앞치매 좀 주쇼	앞치매 좀 주쇼
L2U-0124	식당주문	이거 포장 용기에 담아 주세요	요거 그륵에 담아 주쇼	요거 그륵에 담아 주쇼
L2U-0125	식당주문	국물 흘렸어요	국물 쏟아브렀소	국물 쏟아버렸어라우
L2U-0126	식당주문	이거 좀 잘라 주세요	요거 좀 짤라 주쇼	요거 좀 짤라 주쇼
L2U-0127	식당주문	가위 좀 주세요	가새 좀 주쇼잉	가새 좀 주쇼잉
L2U-0128	식당주문	집게 좀 주세요	집게 좀 주쇼	집게 좀 주쇼
L2U-0129	식당주문	불 좀 줄여 주세요	불 좀 쪼까 줄여 주쇼	불 좀 쪼까 줄여 주쇼
L2U-0130	식당주문	불 좀 키워 주세요	불 좀 키와 주쇼잉	불 좀 키와 주쇼잉
L2U-0131	식당주문	이거 다 익었어요?	요거 다 익었당가요?	요거 다 익었당가요?
L2U-0132	식당주문	더 구워야 돼요?	더 꾸야 쓰까요?	더 꾸야 쓰까요?
L2U-0133	식당주문	상추 좀 더 주세요	상추 좀 더 주쇼	상추 좀 더 주쇼
L2U-0134	식당주문	쌈장 좀 더 주세요	쌈장 좀 더 주쇼잉	쌈장 좀 더 주쇼잉
L2U-0135	식당주문	마늘 좀 주세요	마널 좀 주쇼	마널 좀 주쇼
L2U-0136	식당주문	고추 좀 주세요	꼬추 좀 주쇼잉	꼬추 좀 주쇼잉
L2U-0137	식당주문	이거 너무 느끼해요	요거 허벌나게 누리허요	요거 허벌나게 누리허요
L2U-0138	식당주문	사이드 메뉴 추가요	사이드 메뉴 더 주쇼	사이드 메뉴 더 주쇼
L2U-0139	식당주문	이거 두 개째예요	요거 두 개째라	요거 두 개째라
L2U-0140	식당주문	처음부터 다시 주세요	첨부터 다시 주쇼	첨부터 다시 주쇼
L2U-0141	식당주문	이 메뉴 없어졌어요?	요 메뉴 읎어졌당가요?	요 메뉴 읎어졌당가요?
L2U-0142	식당주문	신메뉴 있어요?	새 메뉴 있당가요?	새 메뉴 있당가요?
L2U-0143	식당주문	가장 빨리 되는 거 주세요	젤로 후딱 되는 거 주쇼	젤로 후딱 되는 거 주쇼
L2U-0144	식당주문	이거 양 줄여 주세요	요거 양 줄여 주쇼잉	요거 양 줄여 주쇼잉
L2U-0145	식당주문	밥 없이 주세요	밥 읎이 주쇼	밥 읎이 주쇼
L2U-0146	식당주문	면만 주세요	면만 주쇼잉	면만 주쇼잉
L2U-0147	식당주문	국물 없이 주세요	국물 읎이 주쇼	국물 읎이 주쇼
L2U-0148	식당주문	덜 기름지게 해 주세요	안 누리하게 해 주쇼	안 누리하게 해 주쇼
L2U-0149	식당주문	이거 다시 가져갈게요	요거 도로 갖고 갈라요	요거 도로 갖고 갈라요
L2U-0150	식당주문	잘 먹고 갑니다	잘 묵고 가요잉	잘 먹고 가요잉
L2U-0151	카페주문	따뜻한 걸로 주세요	뜨신 놈으로 주쇼	뜨신 놈으로 주쇼
L2U-0152	카페주문	차가운 거 있어요?	찬 거 있당가요?	찬 거 있당가요?
L2U-0153	카페주문	큰 사이즈로 해 주세요	큰 놈으로 해 주씨요	큰 놈으로 해 주씨요
L2U-0154	카페주문	얼음 빼 주세요	얼음 빼 주쇼잉	얼음 빼 주쇼잉
L2U-0155	카페주문	덜 달게 해 주세요	안 달게 해 주쇼	안 달게 해 주쇼
L2U-0156	카페주문	한 잔에 얼마예요?	한 잔에 을매당가요?	한 잔에 을매당가요?
L2U-0157	카페주문	휘핑 많이 올려 주세요	휘핑 솔찬히 올려 주쇼	휘핑 솔찬히 올려 주쇼
L2U-0158	카페주문	빨대 어디 있어요?	빨대 어디 있소?	빨대 어디 있소?
L2U-0159	카페주문	여기서 마시고 갈게요	여그서 묵고 갈라요	여그서 먹고 갈라요
L2U-0160	카페주문	테이크아웃이요	들고 나갈랑께요	들고 나갈랑게요
L2U-0161	카페주문	진동벨 울리면 가지러 가요?	벨 울리믄 가질러 간당가요?	벨 울리믄 가질러 간당가요?
L2U-0162	카페주문	자리 있어요?	앉을 디 있소?	앉을 디 있소?
L2U-0163	카페주문	시럽 추가해 주세요	시럽 더 옇어 주쇼	시럽 더 옇어 주쇼
L2U-0164	카페주문	우유로 바꿔 주세요	우유로 바까 주쇼	우유로 바까 주쇼
L2U-0165	카페주문	이거 디카페인 있어요?	요거 디카페인 있당가요?	요거 디카페인 있당가요?
L2U-0166	카페주문	컵 좀 바꿔 주세요	컵 좀 바까 주쇼잉	컵 좀 바까 주쇼잉
L2U-0167	카페주문	따뜻한 물 좀 주세요	뜨신 물 좀 주쇼	뜨신 물 좀 주쇼
L2U-0168	카페주문	케이크도 같이 주세요	케이크도 같이 주쇼	케이크도 같이 주쇼
L2U-0169	카페주문	덜 뜨겁게 해 주세요	안 뜨겁게 해 주쇼	안 뜨겁게 해 주쇼
L2U-0170	카페주문	조각 케이크 하나 주세요	쪼가리 케이크 하나 주쇼	쪼가리 케이크 하나 주쇼
L2U-0171	카페주문	머그잔에 주세요	머그잔에 주쇼잉	머그잔에 주쇼잉
L2U-0172	카페주문	일회용 컵에 주세요	일회용 컵에 주쇼	일회용 컵에 주쇼
L2U-0173	카페주문	샷 추가해 주세요	샷 더 옇어 주쇼	샷 더 옇어 주쇼
L2U-0174	카페주문	연하게 해 주세요	슴슴하게 해 주쇼잉	슴슴하게 해 주쇼잉
L2U-0175	카페주문	진하게 해 주세요	찐하게 해 주쇼	찐하게 해 주쇼
L2U-0176	카페주문	얼음 조금만요	얼음 쪼깐만이라	얼음 쪼깐만이라
L2U-0177	카페주문	얼음 많이요	얼음 솔찬히라	얼음 솔찬히라
L2U-0178	카페주문	따뜻하게 두 잔이요	뜨시게 두 잔이라	뜨시게 두 잔이라
L2U-0179	카페주문	차갑게 한 잔이요	차게 한 잔이라	차게 한 잔이라
L2U-0180	카페주문	이거 무슨 음료예요?	요거 뭔 음료당가요?	요거 뭔 음료당가요?
L2U-0181	카페주문	제일 안 단 거 뭐예요?	젤로 안 단 거 뭐당가요?	젤로 안 단 거 뭐당가요?
L2U-0182	카페주문	카페인 없는 거 있어요?	카페인 읎는 거 있당가요?	카페인 읎는 거 있당가요?
L2U-0183	카페주문	사이즈 업 해 주세요	크게 해 주쇼	크게 해 주쇼
L2U-0184	카페주문	작은 걸로 주세요	짝은 놈으로 주쇼잉	짝은 놈으로 주쇼잉
L2U-0185	카페주문	두 잔 다 따뜻하게요	두 잔 다 뜨시게라	두 잔 다 뜨시게라
L2U-0186	카페주문	얼음물 한 잔 주세요	얼음물 한 잔 주쇼	얼음물 한 잔 주쇼
L2U-0187	카페주문	빨대 두 개 주세요	빨대 두 개 주쇼잉	빨대 두 개 주쇼잉
L2U-0188	카페주문	캐리어에 담아 주세요	캐리어에 담아 주쇼	캐리어에 담아 주쇼
L2U-0189	카페주문	휴지 좀 주세요	휴지 좀 주쇼잉	휴지 좀 주쇼잉
L2U-0190	카페주문	이거 리필 돼요?	요거 또 주는 거요?	요거 또 주는 거요?
L2U-0191	카페주문	따뜻한 거 식었어요	뜨신 거 식어브렀소	뜨신 거 식어버렸어라우
L2U-0192	카페주문	이거 너무 싱거워요	요거 허벌나게 슴슴허요	요거 허벌나게 슴슴허요
L2U-0193	카페주문	너무 달아요	허벌나게 달아브요	허벌나게 달아요
L2U-0194	카페주문	다시 만들어 주세요	다시 맹글어 주쇼	다시 맹글어 주쇼
L2U-0195	카페주문	컵 홀더 좀 주세요	컵 홀더 좀 주쇼잉	컵 홀더 좀 주쇼잉
L2U-0196	카페주문	뚜껑 좀 주세요	뚜껑 좀 주쇼	뚜껑 좀 주쇼
L2U-0197	카페주문	이거 포장돼요?	요거 싸 가도 되까요?	요거 싸 가도 되까요?
L2U-0198	카페주문	디저트 뭐 있어요?	디저트 뭐 있당가요?	디저트 뭐 있당가요?
L2U-0199	카페주문	빵도 데워 줘요?	빵도 뎁혀 주는 거요?	빵도 뎁혀 주는 거요?
L2U-0200	카페주문	이거 따뜻하게 데워 주세요	요거 뜨시게 뎁혀 주쇼	요거 뜨시게 뎁혀 주쇼
L2U-0201	카페주문	우유 빼 주세요	우유 빼 주쇼잉	우유 빼 주쇼잉
L2U-0202	카페주문	두유로 바꿔 주세요	두유로 바까 주쇼	두유로 바까 주쇼
L2U-0203	카페주문	시럽 빼 주세요	시럽 빼 주쇼잉	시럽 빼 주쇼잉
L2U-0204	카페주문	얼음 따로 주세요	얼음 따로 주쇼	얼음 따로 주쇼
L2U-0205	카페주문	물 더 넣어 주세요	물 더 옇어 주쇼잉	물 더 옇어 주쇼잉
L2U-0206	카페주문	이거 두 잔 주세요	요거 두 잔 주쇼	요거 두 잔 주쇼
L2U-0207	카페주문	한 잔만 주세요	한 잔만 주쇼잉	한 잔만 주쇼잉
L2U-0208	카페주문	덜 차갑게 해 주세요	안 차게 해 주쇼	안 차게 해 주쇼
L2U-0209	카페주문	이거 무슨 차예요?	요거 뭔 차당가요?	요거 뭔 차당가요?
L2U-0210	카페주문	녹차 있어요?	녹차 있당가요?	녹차 있당가요?
L2U-0211	카페주문	아이스로 주세요	아이스로 주쇼잉	아이스로 주쇼잉
L2U-0212	카페주문	핫으로 주세요	뜨신 거로 주쇼	뜨신 거로 주쇼
L2U-0213	카페주문	얼음 가득 채워 주세요	얼음 꽉 채와 주쇼	얼음 꽉 채와 주쇼
L2U-0214	카페주문	미지근하게 해 주세요	미적지근하게 해 주쇼잉	미적지근하게 해 주쇼잉
L2U-0215	카페주문	빨대 필요 없어요	빨대 필요 읎소	빨대 필요 읎소
L2U-0216	카페주문	캐리어 하나 주세요	캐리어 하나 주쇼	캐리어 하나 주쇼
L2U-0217	카페주문	두 잔 따로 담아 주세요	두 잔 따로 담아 주쇼잉	두 잔 따로 담아 주쇼잉
L2U-0218	카페주문	이거 새로 만들어 주세요	요거 새로 맹글어 주쇼	요거 새로 맹글어 주쇼
L2U-0219	카페주문	컵에 이름 적어 주세요	컵에 이름 적어 주쇼	컵에 이름 적어 주쇼
L2U-0220	카페주문	이거 진동벨이에요?	요거 벨이당가요?	요거 벨이당가요?
L2U-0221	카페주문	화장실 어디예요?	변소 어디당가요?	변소 어디당가요?
L2U-0222	카페주문	와이파이 돼요?	와이파이 되까요?	와이파이 되까요?
L2U-0223	카페주문	콘센트 어디 있어요?	콘센트 어디 있당가요?	콘센트 어디 있당가요?
L2U-0224	카페주문	이거 데워 줄 수 있어요?	요거 뎁혀 줄 수 있당가요?	요거 뎁혀 줄 수 있당가요?
L2U-0225	카페주문	빵 하나 주세요	빵 하나 주쇼잉	빵 하나 주쇼잉
L2U-0226	카페주문	이거 얼마나 걸려요?	요거 을매나 걸린당가요?	요거 을매나 걸린당가요?
L2U-0227	카페주문	좀 빨리 돼요?	좀 후딱 되까요?	좀 후딱 되까요?
L2U-0228	카페주문	포인트 적립해 주세요	포인트 쌓아 주쇼	포인트 쌓아 주쇼
L2U-0229	카페주문	쿠폰 쓸게요	쿠폰 쓸라요	쿠폰 쓸라요
L2U-0230	카페주문	이거 무료예요?	요거 공짜당가요?	요거 공짜당가요?
L2U-0231	카페주문	머핀도 주세요	머핀도 주쇼잉	머핀도 주쇼잉
L2U-0232	카페주문	따뜻한 라떼 주세요	뜨신 라떼 주쇼	뜨신 라떼 주쇼
L2U-0233	카페주문	아이스 아메리카노요	아이스 아메리카노라	아이스 아메리카노라
L2U-0234	카페주문	설탕 좀 주세요	설탕 좀 주쇼잉	설탕 좀 주쇼잉
L2U-0235	카페주문	스푼 하나 주세요	스푼 하나 주쇼	스푼 하나 주쇼
L2U-0236	카페주문	이거 따뜻하게 다시요	요거 뜨시게 다시라	요거 뜨시게 다시라
L2U-0237	카페주문	차갑게 다시 주세요	차게 다시 주쇼	차게 다시 주쇼
L2U-0238	카페주문	케이크 포장해 주세요	케이크 싸 주쇼잉	케이크 싸 주쇼잉
L2U-0239	카페주문	초콜릿 추가요	초콜릿 더 주쇼	초콜릿 더 주쇼
L2U-0240	카페주문	휘핑 빼 주세요	휘핑 빼 주쇼잉	휘핑 빼 주쇼잉
L2U-0241	카페주문	덜 진하게 해 주세요	안 찐하게 해 주쇼	안 찐하게 해 주쇼
L2U-0242	카페주문	이거 가장 싼 거예요?	요거 젤로 싼 거당가요?	요거 젤로 싼 거당가요?
L2U-0243	카페주문	작은 사이즈 얼마예요?	짝은 거 을매당가요?	짝은 거 을매당가요?
L2U-0244	카페주문	이거 두 개 포장이요	요거 두 개 싸 갈라요	요거 두 개 싸 갈라요
L2U-0245	카페주문	따뜻한 물 한 컵만요	뜨신 물 한 컵만이라	뜨신 물 한 컵만이라
L2U-0246	카페주문	빨대 길이 다른 거 있어요?	빨대 긴 거 있당가요?	빨대 긴 거 있당가요?
L2U-0247	카페주문	이거 다 마셨어요	요거 다 묵어브렀소	요거 다 먹어버렸어라우
L2U-0248	카페주문	한 잔 더 주세요	한 잔 더 주쇼잉	한 잔 더 주쇼잉
L2U-0249	카페주문	천천히 줘도 돼요	찬찬히 줘도 되야라	찬찬히 줘도 되야라
L2U-0250	카페주문	잘 마셨습니다	잘 묵었구만이라	잘 먹었구만이라
L2U-0251	시장	이거 한 근에 얼마예요?	요거 한 근에 을매요?	요거 한 근에 을매요?
L2U-0252	시장	좀 깎아 주세요	좀 깎아 주쇼잉	좀 깎아 주쇼잉
L2U-0253	시장	너무 비싸네요	허벌나게 비싸구만	허벌나게 비싸구만
L2U-0254	시장	싱싱한 걸로 골라 주세요	싱싱한 놈으로 골라 주씨요	싱싱한 놈으로 골라 주씨요
L2U-0255	시장	덤 좀 주세요	덤 좀 얹어 주쇼	덤 좀 얹어 주쇼
L2U-0256	시장	이거 어떻게 먹어요?	요거 으짜게 묵는당가요?	요거 으짜게 먹는당가요?
L2U-0257	시장	조금만 주세요	쪼깐만 주쇼	쪼깐만 주쇼
L2U-0258	시장	많이 살 테니 싸게 주세요	많이 살팅께 싸게 주랑께요	많이 살팅게 싸게 주랑게요
L2U-0259	시장	다 해서 얼마예요?	죄다 해서 을매당가요?	죄다 해서 을매당가요?
L2U-0260	시장	이게 더 좋아 보여요	요놈이 더 좋아 비요	요놈이 더 좋아 비요
L2U-0261	시장	봉지에 담아 주세요	봉다리에 담아 주쇼	봉다리에 담아 주쇼
L2U-0262	시장	또 올게요	또 올랑께요잉	또 올랑게요잉
L2U-0263	시장	이거 국산 맞아요?	요거 국산 맞당가요?	요거 국산 맞당가요?
L2U-0264	시장	한 봉지에 얼마예요?	한 봉다리에 을매요?	한 봉다리에 을매요?
L2U-0265	시장	좀 더 주세요	좀 더 주쇼잉	좀 더 주쇼잉
L2U-0266	시장	골라 담아도 돼요?	골라 담아도 되까요?	골라 담아도 되까요?
L2U-0267	시장	이거 오늘 들어온 거예요?	요거 오늘 들온 거요?	요거 오늘 들온 거요?
L2U-0268	시장	반만 주세요	반만 주쇼	반만 주쇼
L2U-0269	시장	맛 좀 봐도 돼요?	맛 좀 봐도 되까요?	맛 좀 봐도 되까요?
L2U-0270	시장	무거우니까 나눠 담아 주세요	무겁응께 나놔 담아 주쇼	무겁응게 나놔 담아 주쇼
